,,,,,,
Агент,№(из...),ЛС,Телефон,Регион,Баланс,ИНН
"ООО ""ИНТРАСТПЕЙ""",,20583137,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583140,9224896311,Ханты-Мансийский автономный округ,"-536,2",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583142,9292613812,Ханты-Мансийский автономный округ,"-151,9",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583144,,Ханты-Мансийский автономный округ,"-41,27",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583147,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583151,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583154,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583157,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583159,,Ханты-Мансийский автономный округ,-69,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583161,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583162,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583166,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583170,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583171,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583174,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583177,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583181,9292612372,Ханты-Мансийский автономный округ,"-109,1",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583182,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583183,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583187,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583188,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583190,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583191,,Ханты-Мансийский автономный округ,0,7202210684
